chuHan,pinyin,nghia,viDu,viDuPinyin,viDuNghia,chuDe
斤,jīn,Bộ Cân — rìu; cân,斤两,jīnliǎng,cân lạng,Bộ thủ 9 · Đồ vật & công cụ (mở rộng)
矛,máo,Bộ Mâu — giáo,矛盾,máodùn,mâu thuẫn,Bộ thủ 9 · Đồ vật & công cụ (mở rộng)
矢,shǐ,Bộ Thỉ — mũi tên,弓矢,gōngshǐ,cung tên,Bộ thủ 9 · Đồ vật & công cụ (mở rộng)
斗,dǒu,Bộ Đẩu — cái đấu,北斗,běidǒu,sao Bắc Đẩu,Bộ thủ 9 · Đồ vật & công cụ (mở rộng)
匕,bǐ,Bộ Chủy — thìa; dao găm,匕首,bǐshǒu,dao găm,Bộ thủ 9 · Đồ vật & công cụ (mở rộng)
皿,mǐn,Bộ Mãnh — bát đĩa,器皿,qìmǐn,đồ đựng,Bộ thủ 9 · Đồ vật & công cụ (mở rộng)
网,wǎng,Bộ Võng — lưới,鱼网,yúwǎng,lưới cá,Bộ thủ 9 · Đồ vật & công cụ (mở rộng)
舟,zhōu,Bộ Chu — thuyền,小舟,xiǎozhōu,con thuyền,Bộ thủ 9 · Đồ vật & công cụ (mở rộng)
页,yè,Bộ Hiệt — trang; đầu,一页,yíyè,một trang,Bộ thủ 9 · Đồ vật & công cụ (mở rộng)
音,yīn,Bộ Âm — âm thanh,声音,shēngyīn,âm thanh,Bộ thủ 9 · Đồ vật & công cụ (mở rộng)
瓦,wǎ,Bộ Ngõa — ngói,瓦片,wǎpiàn,mảnh ngói,Bộ thủ 9 · Đồ vật & công cụ (mở rộng)
白,bái,Bộ Bạch — trắng,白色,báisè,màu trắng,Bộ thủ 10 · Màu sắc & trừu tượng
黑,hēi,Bộ Hắc — đen,黑色,hēisè,màu đen,Bộ thủ 10 · Màu sắc & trừu tượng
青,qīng,Bộ Thanh — xanh,青色,qīngsè,màu xanh,Bộ thủ 10 · Màu sắc & trừu tượng
赤,chì,Bộ Xích — đỏ,赤色,chìsè,màu đỏ,Bộ thủ 10 · Màu sắc & trừu tượng
黄,huáng,Bộ Hoàng — vàng,黄色,huángsè,màu vàng,Bộ thủ 10 · Màu sắc & trừu tượng
色,sè,Bộ Sắc — màu sắc,颜色,yánsè,màu sắc,Bộ thủ 10 · Màu sắc & trừu tượng
玄,xuán,"Bộ Huyền — huyền, đen",玄妙,xuánmiào,huyền diệu,Bộ thủ 10 · Màu sắc & trừu tượng
文,wén,"Bộ Văn — chữ, văn",文字,wénzì,văn tự,Bộ thủ 10 · Màu sắc & trừu tượng
方,fāng,"Bộ Phương — vuông, hướng",方向,fāngxiàng,phương hướng,Bộ thủ 10 · Màu sắc & trừu tượng
高,gāo,Bộ Cao — cao,高山,gāoshān,núi cao,Bộ thủ 10 · Màu sắc & trừu tượng
