chuHan,pinyin,nghia,viDu,viDuPinyin,viDuNghia,chuDe
身体,shēntǐ,cơ thể,你的身体怎么样？,nǐ de shēn tǐ zěn me yàng ？,Sức khỏe của bạn thế nào?,Thời tiết & Sức khỏe
生病,shēngbìng,bị bệnh,他生病了，不能来上课。,tā shēng bìng le ， bù néng lái shàng kè 。,"Anh ấy bị ốm, không thể đến lớp.",Thời tiết & Sức khỏe
生日,shēngrì,sinh nhật,今天是我的生日。,jīn tiān shì wǒ de shēng rì 。,Hôm nay là sinh nhật của tôi.,Thời gian
时间,shíjiān,thời gian,现在我没有时间。,xiàn zài wǒ méi yǒu shí jiān 。,Bây giờ tôi không có thời gian.,Thời gian
事情,shìqíng,việc,你在做什么事情？,nǐ zài zuò shén me shì qíng ？,Bạn đang làm việc gì?,Học tập & Công việc
手表,shǒubiǎo,đồng hồ,这块手表很贵。,zhè kuài shǒu biǎo hěn guì 。,Chiếc đồng hồ này rất đắt.,Đồ vật & Mua sắm
手机,shǒujī,điện thoại di động,我的手机没电了。,wǒ de shǒu jī méi diàn le 。,Điện thoại của tôi hết pin rồi.,Đồ vật & Mua sắm
送,sòng,tặng,我送你一本书。,wǒ sòng nǐ yī běn shū 。,Tôi tặng bạn một cuốn sách.,Động từ thường dùng
所以,suǒyǐ,vì vậy,他很累，所以休息了。,tā hěn lèi ， suǒ yǐ xiū xī le 。,"Anh ấy rất mệt, nên đã nghỉ ngơi.",Ngữ pháp & Liên từ
它,tā,"nó (cho vật, động vật)",它是一只可爱的小猫。,tā shì yī zhī kě ài de xiǎo māo 。,Nó là một chú mèo con dễ thương.,Đại từ & Câu hỏi
踢足球,tī zúqiú,đá bóng,我们一起踢足球吧。,wǒ men yì qǐ tī zú qiú ba 。,Chúng ta cùng đá bóng nhé.,Động từ thường dùng
题,tí,"câu hỏi, đề bài",这道题很难。,zhè dào tí hěn nán 。,Câu hỏi này rất khó.,Học tập & Công việc
跳舞,tiàowǔ,nhảy múa,我喜欢跳舞。,wǒ xǐ huān tiào wǔ 。,Tôi thích nhảy múa.,Động từ thường dùng
外,wài,ngoài,他在外面等你。,tā zài wài miàn děng nǐ 。,Anh ấy đợi bạn ở bên ngoài.,Địa điểm & Giao thông
玩,wán,chơi,小孩子们在玩游戏。,xiǎo hái zi men zài wán yóu xì 。,Bọn trẻ đang chơi trò chơi.,Động từ thường dùng
完,wán,"xong, hoàn thành",我已经做完了作业。,wǒ yǐ jīng zuò wán le zuò yè 。,Tôi đã làm xong bài tập.,Động từ thường dùng
晚上,wǎnshàng,buổi tối,我晚上九点睡觉。,wǒ wǎn shàng jiǔ diǎn shuì jiào 。,Tôi ngủ lúc chín giờ tối.,Thời gian
为什么,wèishénme,tại sao,你为什么不来？,nǐ wèi shén me bù lái ？,Sao bạn không đến?,Đại từ & Câu hỏi
问,wèn,hỏi,请问你叫什么名字？,qǐng wèn nǐ jiào shén me míng zì ？,Xin hỏi bạn tên là gì?,Động từ thường dùng
问题,wèntí,vấn đề,这个问题很重要。,zhè ge wèn tí hěn zhòng yào 。,Vấn đề này rất quan trọng.,Học tập & Công việc
西瓜,xīguā,dưa hấu,我喜欢吃西瓜。,wǒ xǐ huān chī xī guā 。,Tôi thích ăn dưa hấu.,Đồ ăn & Thức uống
希望,xīwàng,hy vọng,我希望你能来。,wǒ xī wàng nǐ néng lái 。,Tôi hy vọng bạn có thể đến.,Động từ thường dùng
洗,xǐ,rửa,请洗手。,qǐng xǐ shǒu 。,Làm ơn rửa tay.,Động từ thường dùng
向,xiàng,"hướng về, đối với",向左走。,xiàng zuǒ zǒu 。,Đi về bên trái.,Địa điểm & Giao thông
小时,xiǎoshí,tiếng đồng hồ,我每天学习一个小时。,wǒ měi tiān xué xí yí gè xiǎo shí 。,Mỗi ngày tôi học một tiếng.,Thời gian
笑,xiào,cười,他在笑什么？,tā zài xiào shén me ？,Anh ấy đang cười gì vậy?,Động từ thường dùng
新,xīn,mới,我有一个新手机。,wǒ yǒu yí gè xīn shǒu jī 。,Tôi có một chiếc điện thoại mới.,Tính từ & Trạng thái
姓,xìng,họ,你姓什么？,nǐ xìng shén me ？,Bạn họ gì?,Chào hỏi & Lễ phép
休息,xiūxi,nghỉ ngơi,我累了，需要休息。,wǒ lèi le ， xū yào xiū xī 。,"Tôi mệt rồi, cần nghỉ ngơi.",Động từ thường dùng
雪,xuě,tuyết,明天会下雪。,míng tiān huì xià xuě 。,Ngày mai sẽ có tuyết.,Thời tiết & Sức khỏe
颜色,yánsè,màu sắc,你喜欢什么颜色？,nǐ xǐ huān shén me yán sè ？,Bạn thích màu gì?,Đồ vật & Mua sắm
眼睛,yǎnjing,mắt,他的眼睛很大。,tā de yǎn jīng hěn dà 。,Mắt của anh ấy rất to.,Đồ vật & Mua sắm
羊肉,yángròu,thịt cừu,我喜欢吃羊肉。,wǒ xǐ huān chī yáng ròu 。,Tôi thích ăn thịt cừu.,Đồ ăn & Thức uống
要,yào,"muốn, cần",我要一杯水。,wǒ yào yī bēi shuǐ 。,Tôi muốn một cốc nước.,Động từ thường dùng
药,yào,thuốc,我生病了，要吃药。,wǒ shēng bìng le ， yào chī yào 。,"Tôi bị ốm, phải uống thuốc.",Thời tiết & Sức khỏe
也,yě,cũng,他也喜欢游泳。,tā yě xǐ huān yóu yǒng 。,Anh ấy cũng thích bơi.,Ngữ pháp & Liên từ
已经,yǐjīng,đã,我已经吃过饭了。,wǒ yǐ jīng chī guò fàn le 。,Tôi đã ăn cơm rồi.,Ngữ pháp & Liên từ
一起,yìqǐ,cùng nhau,我们一起去看电影吧。,wǒ men yì qǐ qù kàn diàn yǐng ba 。,Chúng ta cùng đi xem phim nhé.,Ngữ pháp & Liên từ
意思,yìsi,ý nghĩa,这是什么意思？,zhè shì shén me yì si ？,Cái này nghĩa là gì?,Học tập & Công việc
阴,yīn,"âm u, trời nhiều mây",今天是阴天。,jīn tiān shì yīn tiān 。,Hôm nay trời âm u.,Thời tiết & Sức khỏe
因为,yīnwèi,vì,因为下雨，我不去跑步。,yīn wèi xià yǔ ， wǒ bù qù pǎo bù 。,Vì trời mưa nên tôi không đi chạy bộ.,Ngữ pháp & Liên từ
游泳,yóuyǒng,bơi,我喜欢游泳。,wǒ xǐ huān yóu yǒng 。,Tôi thích bơi.,Động từ thường dùng
右边,yòubiān,bên phải,他坐在我右边。,tā zuò zài wǒ yòu biān 。,Anh ấy ngồi bên phải tôi.,Địa điểm & Giao thông
鱼,yú,cá,我们晚饭吃鱼。,wǒ men wǎn fàn chī yú 。,Bữa tối chúng tôi ăn cá.,Đồ ăn & Thức uống
元,yuán,Đồng (đơn vị tiền tệ),这本书要十元。,zhè běn shū yào shí yuán 。,Cuốn sách này giá mười tệ.,Số đếm & Lượng từ
远,yuǎn,xa,他家离学校很远。,tā jiā lí xué xiào hěn yuǎn 。,Nhà anh ấy ở rất xa trường học.,Tính từ & Trạng thái
运动,yùndòng,vận,我每天都运动。,wǒ měi tiān dōu yùn dòng 。,Tôi tập thể dục mỗi ngày.,Động từ thường dùng
再,zài,lại,请再说一遍。,qǐng zài shuō yī biàn 。,Làm ơn nói lại một lần nữa.,Ngữ pháp & Liên từ
早上,zǎoshàng,buổi sáng,我每天早上六点起床。,wǒ měi tiān zǎo shàng liù diǎn qǐ chuáng 。,Tôi thức dậy lúc sáu giờ sáng mỗi ngày.,Thời gian
张,zhāng,"tờ, bức (dùng cho vật phẳng, giấy, tranh, bàn)",这是一张照片。,zhè shì yī zhāng zhào piān 。,Đây là một tấm ảnh.,Số đếm & Lượng từ
丈夫,zhàngfu,chồng,这是我的丈夫。,zhè shì wǒ de zhàng fū 。,Đây là chồng tôi.,Gia đình & Con người
找,zhǎo,tìm,我在找我的钥匙。,wǒ zài zhǎo wǒ de yào shi 。,Tôi đang tìm chìa khóa của mình.,Động từ thường dùng
着,zhe,đang (dùng để chỉ trạng thái hiện tại),他在吃着饭呢。,tā zài chī zhe fàn ne 。,Anh ấy đang ăn cơm.,Ngữ pháp & Liên từ
真,zhēn,thật,这个苹果真好吃。,zhè ge píng guǒ zhēn hǎo chī 。,Quả táo này thật ngon.,Tính từ & Trạng thái
正在,zhèngzài,đang,妈妈正在打电话。,mā mā zhèng zài dǎ diàn huà 。,Mẹ đang gọi điện thoại.,Ngữ pháp & Liên từ
知道,zhīdào,biết,我知道他是谁。,wǒ zhī dào tā shì shuí 。,Tôi biết anh ấy là ai.,Động từ thường dùng
准备,zhǔnbèi,chuẩn bị,我正在准备考试。,wǒ zhèng zài zhǔn bèi kǎo shì 。,Tôi đang chuẩn bị cho kỳ thi.,Động từ thường dùng
自行车,zìxíngchē,xe đạp,他骑自行车去上班。,tā qí zì xíng chē qù shàng bān 。,Anh ấy đi xe đạp đến chỗ làm.,Địa điểm & Giao thông
走,zǒu,đi,我们一起走吧。,wǒ men yì qǐ zǒu ba 。,Chúng ta cùng đi nhé.,Động từ thường dùng
最,zuì,nhất (so sánh nhất),这是我最喜欢的书。,zhè shì wǒ zuì xǐ huān de shū 。,Đây là cuốn sách tôi thích nhất.,Ngữ pháp & Liên từ
左边,zuǒbiān,bên trái,他坐在我左边。,tā zuò zài wǒ zuǒ biān 。,Anh ấy ngồi bên trái tôi.,Địa điểm & Giao thông
爷爷,yéye,ông nội,我爷爷今年八十岁。,wǒ yé yé jīn nián bā shí suì 。,Ông nội tôi năm nay tám mươi tuổi.,Gia đình & Con người
奶奶,nǎinai,bà nội,奶奶做的菜很好吃。,nǎi nǎi zuò de cài hěn hǎo chī 。,Món ăn bà nội nấu rất ngon.,Gia đình & Con người
外公,wàigōng,ông ngoại,我的外公住在乡下。,wǒ de wài gōng zhù zài xiāng xià 。,Ông ngoại tôi sống ở quê.,Gia đình & Con người
外婆,wàipó,bà ngoại,外婆很喜欢我。,wài pó hěn xǐ huān wǒ 。,Bà ngoại rất thương tôi.,Gia đình & Con người
叔叔,shūshu,chú,我叔叔是一名医生。,wǒ shū shū shì yī míng yī shēng 。,Chú tôi là bác sĩ.,Gia đình & Con người
阿姨,āyí,dì,阿姨给我买了礼物。,ā yí gěi wǒ mǎi le lǐ wù 。,Dì mua cho tôi một món quà.,Gia đình & Con người
表兄弟姐妹,biǎo xiōngdì jiěmèi,anh em họ,我有很多表兄弟姐妹。,wǒ yǒu hěn duō biǎo xiōng dì jiě mèi 。,Tôi có rất nhiều anh em họ.,Gia đình & Con người
饭店,fàndiàn,nhà hàng,这家饭店的菜很好吃。,zhè jiā fàn diàn de cài hěn hǎo chī 。,Món ăn ở nhà hàng này rất ngon.,Địa điểm & Giao thông
超市,chāoshì,siêu thị,我去超市买东西。,wǒ qù chāo shì mǎi dōng xī 。,Tôi đến siêu thị mua đồ.,Địa điểm & Giao thông
图书馆,túshūguǎn,thư viện,我在图书馆看书。,wǒ zài tú shū guǎn kàn shū 。,Tôi đọc sách trong thư viện.,Địa điểm & Giao thông
邮局,yóujú,bưu điện,邮局在银行旁边。,yóu jú zài yín háng páng biān 。,Bưu điện ở cạnh ngân hàng.,Địa điểm & Giao thông
市场,shìchǎng,chợ,早上市场里人很多。,zǎo shàng shì chǎng lǐ rén hěn duō 。,Buổi sáng trong chợ rất đông người.,Địa điểm & Giao thông
办公室,bàngōngshì,văn phòng,老师在办公室里。,lǎo shī zài bàn gōng shì lǐ 。,Thầy giáo đang ở trong văn phòng.,Địa điểm & Giao thông
博物馆,bówùguǎn,bảo tàng,这个博物馆很有名。,zhè ge bó wù guǎn hěn yǒu míng 。,Bảo tàng này rất nổi tiếng.,Địa điểm & Giao thông
公园,gōngyuán,công viên,我们去公园散步吧。,wǒ men qù gōng yuán sàn bù ba 。,Chúng ta đi dạo công viên nhé.,Địa điểm & Giao thông
银行,yínháng,ngân hàng,我要去银行取钱。,wǒ yào qù yín háng qǔ qián 。,Tôi phải đến ngân hàng rút tiền.,Địa điểm & Giao thông
车站,chēzhàn,trạm xe,车站离这里很近。,chē zhàn lí zhè lǐ hěn jìn 。,Trạm xe ở gần đây.,Địa điểm & Giao thông
商场,shāngchǎng,trung tâm thương mại,周末商场里人很多。,zhōu mò shāng chǎng lǐ rén hěn duō 。,Cuối tuần trung tâm thương mại rất đông người.,Địa điểm & Giao thông
厕所,cèsuǒ,nhà vệ sinh,请问厕所在哪儿？,qǐng wèn cè suǒ zài nǎ ér ？,Xin hỏi nhà vệ sinh ở đâu?,Địa điểm & Giao thông
电梯,diàntī,thang máy,我们坐电梯上楼。,wǒ men zuò diàn tī shàng lóu 。,Chúng tôi đi thang máy lên lầu.,Địa điểm & Giao thông
门口,ménkǒu,cửa ra vào,他在门口等我。,tā zài mén kǒu děng wǒ 。,Anh ấy đợi tôi ở cửa.,Địa điểm & Giao thông
周末,zhōumò,cuối tuần,周末我常常在家休息。,zhōu mò wǒ cháng cháng zài jiā xiū xī 。,Cuối tuần tôi thường nghỉ ở nhà.,Thời gian
每天,měitiān,mỗi ngày,我每天都学习汉语。,wǒ měi tiān dōu xué xí hàn yǔ 。,Mỗi ngày tôi đều học tiếng Hán.,Thời gian
刚才,gāngcái,lúc nãy,他刚才还在这里。,tā gāng cái hái zài zhè lǐ 。,Lúc nãy anh ấy còn ở đây.,Thời gian
以后,yǐhòu,sau này,以后我想去中国留学。,yǐ hòu wǒ xiǎng qù zhōng guó liú xué 。,Sau này tôi muốn đi du học Trung Quốc.,Thời gian
以前,yǐqián,trước đây,以前这里是一个公园。,yǐ qián zhè lǐ shì yí gè gōng yuán 。,Trước đây nơi này là một công viên.,Thời gian
马上,mǎshàng,ngay,我马上就来。,wǒ mǎ shàng jiù lái 。,Tôi đến ngay đây.,Thời gian
一会儿,yíhuìr,một lát,请等我一会儿。,qǐng děng wǒ yī huì er 。,Đợi tôi một lát nhé.,Thời gian
刚刚,gānggāng,vừa xong,他刚刚出去了。,tā gāng gāng chū qù le 。,Anh ấy vừa mới ra ngoài.,Thời gian
经常,jīngcháng,thường xuyên,我经常去图书馆。,wǒ jīng cháng qù tú shū guǎn 。,Tôi thường xuyên đến thư viện.,Thời gian
香蕉,xiāngjiāo,chuối,我喜欢吃香蕉。,wǒ xǐ huān chī xiāng jiāo 。,Tôi thích ăn chuối.,Đồ ăn & Thức uống
面条,miàntiáo,mì,中午我吃了一碗面条。,zhōng wǔ wǒ chī le yī wǎn miàn tiáo 。,Buổi trưa tôi đã ăn một bát mì.,Đồ ăn & Thức uống
